Country,Total Cases,New Cases,Total Deaths,New Deaths,New Casses
North America,"37,380,822",,"846,587",+686,"+21,652"
Asia,"33,781,384",,"467,260","+2,999","+396,184"
South America,"23,315,120",,"620,770",+131,"+8,555"
Europe,"42,800,733",,"975,288","+1,905","+85,687"
Africa,"4,461,772",,"117,994",+44,"+2,496"
Oceania,"61,206",,"1,173",+5,+246
,721,,15,,
World,"141,801,758",,"3,029,087","+5,770","+514,820"
USA,"32,370,715",,"580,838",+82,"+9,435"
India,"15,040,918",,"178,567","+1,399","+258,457"
Brazil,"13,900,134",,"371,889",,
France,"5,260,182",,"100,593",,
Russia,"4,702,101",,"105,582",+389,"+8,632"
UK,"4,387,820",,"127,270",+10,"+1,882"
Turkey,"4,268,447",,"35,926",+318,"+55,802"
Italy,"3,870,131",,"116,927",+251,"+12,694"
Spain,"3,407,283",,"76,981",,
Germany,"3,145,165",,"80,567",+41,"+7,258"
Poland,"2,688,025",,"62,032",+207,"+12,153"
Argentina,"2,677,747",,"59,164",,
Colombia,"2,636,076",,"67,931",,
Mexico,"2,304,096",,"212,228",+535,"+4,157"
Iran,"2,237,089",,"66,732",+405,"+21,644"
Ukraine,"1,946,510",,"39,786",+250,"+10,282"
Peru,"1,697,626",,"56,797",,
Indonesia,"1,604,348",,"43,424",+96,"+4,585"
Czechia,"1,600,347",,"28,426",+13,
South Africa,"1,565,680",,"53,711",,
Netherlands,"1,403,833",,"16,916",+12,"+8,505"
Chile,"1,124,718",,"25,177",+122,"+7,370"
Canada,"1,119,492",,"23,618",+27,"+5,585"
Romania,"1,029,304",,"26,232",+160,"+2,265"
Iraq,"977,175",,"14,981",+33,"+6,188"
Belgium,"947,000",,"23,718",+37,"+3,787"
Philippines,"936,133",,"15,960",+150,"+10,098"
Sweden,"900,138",,"13,788",,
Israel,"837,012",,"6,334",+3,+130
Portugal,"831,001",,"16,945",+3,+441
Pakistan,"756,285",,"16,243",+149,"+6,127"
Hungary,"750,508",,"25,184",+205,"+3,706"
Bangladesh,"718,950",,"10,385",+102,"+3,698"
Jordan,"685,973",,"8,246",+68,"+2,507"
Serbia,"662,368",,"5,991",+37,"+2,069"
Switzerland,"632,399",,"10,508",+3,
Austria,"593,423",,"9,898",+28,"+2,076"
Japan,"529,829",,"9,622",+38,"+4,611"
Lebanon,"508,503",,"6,886",,
Morocco,"505,811",,"8,945",+1,+364
UAE,"497,154",,"1,554",+4,"+1,930"
