#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,"37,378,156","+18,986","846,577",+676,"29,038,932","+12,487","7,492,647","17,106",,,,,,North America,,,
,Asia,"33,781,298","+396,098","467,260","+2,999","29,440,130","+303,995","3,873,908","29,379",,,,,,Asia,,,
,South America,"23,315,120","+8,555","620,770",+131,"20,882,653","+8,686","1,811,697","24,542",,,,,,South America,,,
,Europe,"42,800,565","+85,519","975,287","+1,904","37,088,535","+110,817","4,736,743","32,412",,,,,,Europe,,,
,Africa,"4,461,772","+2,496","117,994",+44,"3,981,902","+2,072","361,876","3,802",,,,,,Africa,,,
,Oceania,"61,206",+246,"1,173",+5,"34,783",+15,"25,250",4,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"141,798,838","+511,900","3,029,076","+5,759","120,467,641","+438,072","18,302,121","107,245","18,191",388.6,,,,All,,,
1,USA,"32,368,049","+6,769","580,828",+72,"24,912,745","+2,975","6,874,476","9,834","97,335","1,747","428,278,318","1,287,890","332,542,637",North America,10,573,1
2,India,"15,040,918","+258,457","178,567","+1,399","12,932,574","+127,480","1,929,777","8,944","10,815",128,"266,538,416","191,650","1,390,753,234",Asia,92,"7,788",5
3,Brazil,"13,900,134",,"371,889",,"12,344,861",,"1,183,384","8,318","65,028","1,740","28,600,000","133,796","213,757,680",South America,15,575,7
4,France,"5,260,182",,"100,593",,"4,081,014",,"1,078,575","5,877","80,445","1,538","71,808,202","1,098,182","65,388,253",Europe,12,650,1
5,Russia,"4,702,101","+8,632","105,582",+389,"4,326,780","+7,391","269,739","2,300","32,210",723,"125,400,000","858,997","145,984,203",Europe,31,"1,383",1
6,UK,"4,387,820","+1,882","127,270",+10,"4,150,568","+4,758","109,982",332,"64,367","1,867","140,944,028","2,067,568","68,169,005",Europe,16,536,0
7,Turkey,"4,268,447","+55,802","35,926",+318,"3,687,590","+43,856","544,931","3,275","50,183",422,"43,768,759","514,577","85,057,795",Asia,20,"2,368",2
8,Italy,"3,870,131","+12,694","116,927",+251,"3,248,593","+13,134","504,611","3,311","64,084","1,936","55,094,444","912,294","60,391,111",Europe,16,516,1
9,Spain,"3,407,283",,"76,981",,"3,129,234",,"201,068","2,180","72,853","1,646","44,285,495","946,895","46,769,173",Europe,14,608,1
10,Germany,"3,144,997","+7,090","80,566",+40,"2,775,200","+10,100","289,231","4,740","37,442",959,"52,737,238","627,849","83,996,696",Europe,27,"1,043",2
11,Poland,"2,688,025","+12,153","62,032",+207,"2,311,145","+25,924","314,848","3,359","71,086","1,640","13,503,602","357,109","37,813,645",Europe,14,610,3
12,Argentina,"2,677,747",,"59,164",,"2,343,808",,"274,775","3,977","58,820","1,300","10,090,767","221,656","45,524,419",South America,17,769,5
13,Colombia,"2,636,076",,"67,931",,"2,457,888",,"110,257","4,299","51,373","1,324","13,774,899","268,452","51,312,421",South America,19,755,4
14,Mexico,"2,304,096","+4,157","212,228",+535,"1,826,646","+2,914","265,222","4,798","17,723","1,632","6,400,316","49,231","130,005,664",North America,56,613,20
15,Iran,"2,237,089","+21,644","66,732",+405,"1,785,358","+12,670","384,999","4,766","26,367",787,"14,386,423","169,564","84,843,688",Asia,38,"1,271",6
16,Ukraine,"1,946,510","+10,282","39,786",+250,"1,482,079","+6,523","424,645",177,"44,722",914,"8,915,393","204,836","43,524,478",Europe,22,"1,094",5
17,Peru,"1,697,626",,"56,797",,"1,619,680",,"21,149","2,616","50,926","1,704","10,374,315","311,212","33,335,152",South America,20,587,3
18,Indonesia,"1,604,348","+4,585","43,424",+96,"1,455,065","+4,873","105,859",,"5,817",157,"13,836,432","50,166","275,814,395",Asia,172,"6,352",20
19,Czechia,"1,600,347",,"28,426",+13,"1,495,624",+28,"76,297",938,"149,220","2,651","15,590,376","1,453,680","10,724,766",Europe,7,377,1
20,South Africa,"1,565,680",,"53,711",,"1,489,457",,"22,512",546,"26,138",897,"10,305,641","172,046","59,900,468",Africa,38,"1,115",6
21,Netherlands,"1,403,833","+8,505","16,916",+12,"1,170,083","+7,344","216,834",796,"81,785",985,"11,292,587","657,885","17,164,991",Europe,12,"1,015",2
22,Chile,"1,124,718","+7,370","25,177",+122,"1,053,635","+7,828","45,906","3,308","58,438","1,308","12,278,835","637,985","19,246,262",South America,17,764,2
