Date,Time,Produced,Demand,Depriciation
১৮-০৪-২০২১,২১:০০:০০,১২৬৬১,১২৬৬১,০.০০
১৮-০৪-২০২১,২০:০০:০০,১২৪৫১,১২৪৫১,০.০০
১৮-০৪-২০২১,১৯:৩০:০০,১২৩৯৮,১২৩৯৮,০.০০
১৮-০৪-২০২১,১৯:০০:০০,১১৮০৩,১১৮০৩,০.০০
১৮-০৪-২০২১,১৮:০০:০০,১০১৮২,১০১৮২,০.০০
১৮-০৪-২০২১,১৭:০০:০০,১০১০৬,১০১০৬,০.০০
১৮-০৪-২০২১,১৬:০০:০০,১০৩৬৩,১০৩৬৩,০.০০
১৮-০৪-২০২১,১৫:০০:০০,১০৫৭২,১০৫৭২,০.০০
১৮-০৪-২০২১,১৪:০০:০০,১০৫১৩,১০৫১৩,০.০০
১৮-০৪-২০২১,১৩:০০:০০,১০০৫৭,১০০৫৭,০.০০
১৮-০৪-২০২১,১২:০০:০০,৯৮৭৩,৯৮৭৩,০.০০
১৮-০৪-২০২১,১১:০০:০০,৯৪৪৮,৯৪৪৮,০.০০
১৮-০৪-২০২১,১০:০০:০০,৯১৮১,৯১৮১,০.০০
১৮-০৪-২০২১,০৯:০০:০০,৮৮৯৪,৮৮৯৪,০.০০
১৮-০৪-২০২১,০৮:০০:০০,৮২৫২,৮২৫২,০.০০
১৮-০৪-২০২১,০৭:০০:০০,৮০৩৫,৮০৩৫,০.০০
১৮-০৪-২০২১,০৬:০০:০০,৭৯৫৭,৭৯৫৭,০.০০
১৮-০৪-২০২১,০৫:০০:০০,৮৪৯৪,৮৪৯৪,০.০০
১৮-০৪-২০২১,০৪:০০:০০,৯৬৪৫,৯৬৪৫,০.০০
১৮-০৪-২০২১,০৩:০০:০০,১০৩০০,১০৩০০,০.০০
১৮-০৪-২০২১,০২:০০:০০,১০১৬৫,১০১৬৫,০.০০
১৮-০৪-২০২১,০১:০০:০০,১০৪০৬,১০৪০৬,০.০০
১৭-০৪-২০২১,২৪:০০:০০,১০৭৫০,১০৭৫০,০.০০
১৭-০৪-২০২১,২৩:০০:০০,১১০৬৫,১১০৬৫,০.০০
১৭-০৪-২০২১,২২:০০:০০,১১৭৪৩,১১৭৪৩,০.০০
১৭-০৪-২০২১,২১:০০:০০,১১৯৪০,১১৯৪০,০.০০
১৭-০৪-২০২১,২০:০০:০০,১১৬৬৪,১১৬৬৪,০.০০
১৭-০৪-২০২১,১৯:৩০:০০,১১৫৮৮,১১৫৮৮,০.০০
১৭-০৪-২০২১,১৯:০০:০০,১১২৫৫,১১২৫৫,০.০০
১৭-০৪-২০২১,১৮:০০:০০,৯৬৮৮,৯৬৮৮,০.০০
১৭-০৪-২০২১,১৭:০০:০০,৯৭১৭,৯৭১৭,০.০০
১৭-০৪-২০২১,১৬:০০:০০,৯৭৫৩,৯৭৫৩,০.০০
১৭-০৪-২০২১,১৫:০০:০০,৯৯২১,৯৯২১,০.০০
১৭-০৪-২০২১,১৪:০০:০০,৯৪৬১,৯৪৬১,০.০০
১৭-০৪-২০২১,১৩:০০:০০,৮৯২৩,৮৯২৩,০.০০
১৭-০৪-২০২১,১২:০০:০০,৮২১৭,৮২১৭,০.০০
১৭-০৪-২০২১,১১:০০:০০,৭৬০৬,৭৬০৬,০.০০
১৭-০৪-২০২১,১০:০০:০০,৭০৪৪,৭০৪৪,০.০০
১৭-০৪-২০২১,০৯:০০:০০,৬৪৩০,৬৪৩০,০.০০
১৭-০৪-২০২১,০৮:০০:০০,৫৪৯২,৫৪৯২,০.০০
১৭-০৪-২০২১,০৭:০০:০০,৪৮৫৩,৪৮৫৩,০.০০
১৭-০৪-২০২১,০৬:০০:০০,৪৯৫০,৪৯৫০,০.০০
১৭-০৪-২০২১,০৫:০০:০০,৫৩৭৭,৫৩৭৭,০.০০
১৭-০৪-২০২১,০৪:০০:০০,৬১১৬,৬১১৬,০.০০
১৭-০৪-২০২১,০৩:০০:০০,৮০৬৮,৮০৬৮,০.০০
১৭-০৪-২০২১,০২:০০:০০,৮৬৬৮,৮৬৬৮,০.০০
১৭-০৪-২০২১,০১:০০:০০,৯৯০৯,৯৯০৯,০.০০
১৬-০৪-২০২১,২৪:০০:০০,১০৮৫৪,১০৮৫৪,০.০০
১৬-০৪-২০২১,২৩:০০:০০,১১৯৩২,১১৯৩২,০.০০
১৬-০৪-২০২১,২২:০০:০০,১২৭১২,১২৭১২,০.০০
১৬-০৪-২০২১,২১:০০:০০,১২৭০৫,১২৭০৫,০.০০
০৪-০৪-২০২১,১৫:০০:০০,১১৭৫৬.২,১১৭৫৬,০.০০
০৪-০৪-২০২১,১৪:০০:০০,১১৫৯৮,১১৫৯৮,০.০০
০৪-০৪-২০২১,১৩:০০:০০,১১৪২৯,১১৪২৯,০.০০
০৪-০৪-২০২১,১২:০০:০০,১১২৬৬,১১২৬৬,০.০০
০৪-০৪-২০২১,১১:০০:০০,১০৮৮৭,১০৮৮৭,০.০০
০৪-০৪-২০২১,১০:০০:০০,১০৫১৭,১০৫১৭,০.০০
০৪-০৪-২০২১,০৯:০০:০০,১০০০৭,১০০০৭,০.০০
০৪-০৪-২০২১,০৮:০০:০০,৯৬০৬,৯৬০৬,০.০০
০৪-০৪-২০২১,০৭:০০:০০,৯৬৬১,৯৬৬১,০.০০
০৪-০৪-২০২১,০৬:০০:০০,৯৬৯৩,৯৬৯৩,০.০০
০৪-০৪-২০২১,০৫:০০:০০,১০০৭৬,১০০৭৬,০.০০
