Date,Time,Produced,Demand,Depriciation
18-04-2021,21:00:00,12661,12661,0.00
18-04-2021,20:00:00,12451,12451,0.00
18-04-2021,19:30:00,12398,12398,0.00
18-04-2021,19:00:00,11803,11803,0.00
18-04-2021,18:00:00,10182,10182,0.00
18-04-2021,17:00:00,10106,10106,0.00
18-04-2021,16:00:00,10363,10363,0.00
18-04-2021,15:00:00,10572,10572,0.00
18-04-2021,14:00:00,10513,10513,0.00
18-04-2021,13:00:00,10057,10057,0.00
18-04-2021,12:00:00,9873,9873,0.00
18-04-2021,11:00:00,9448,9448,0.00
18-04-2021,10:00:00,9181,9181,0.00
18-04-2021,09:00:00,8894,8894,0.00
18-04-2021,08:00:00,8252,8252,0.00
18-04-2021,07:00:00,8035,8035,0.00
18-04-2021,06:00:00,7957,7957,0.00
18-04-2021,05:00:00,8494,8494,0.00
18-04-2021,04:00:00,9645,9645,0.00
18-04-2021,03:00:00,10300,10300,0.00
18-04-2021,02:00:00,10165,10165,0.00
18-04-2021,01:00:00,10406,10406,0.00
17-04-2021,24:00:00,10750,10750,0.00
17-04-2021,23:00:00,11065,11065,0.00
17-04-2021,22:00:00,11743,11743,0.00
17-04-2021,21:00:00,11940,11940,0.00
17-04-2021,20:00:00,11664,11664,0.00
17-04-2021,19:30:00,11588,11588,0.00
17-04-2021,19:00:00,11255,11255,0.00
17-04-2021,18:00:00,9688,9688,0.00
17-04-2021,17:00:00,9717,9717,0.00
17-04-2021,16:00:00,9753,9753,0.00
17-04-2021,15:00:00,9921,9921,0.00
17-04-2021,14:00:00,9461,9461,0.00
17-04-2021,13:00:00,8923,8923,0.00
17-04-2021,12:00:00,8217,8217,0.00
17-04-2021,11:00:00,7606,7606,0.00
17-04-2021,10:00:00,7044,7044,0.00
17-04-2021,09:00:00,6430,6430,0.00
17-04-2021,08:00:00,5492,5492,0.00
17-04-2021,07:00:00,4853,4853,0.00
17-04-2021,06:00:00,4950,4950,0.00
17-04-2021,05:00:00,5377,5377,0.00
17-04-2021,04:00:00,6116,6116,0.00
17-04-2021,03:00:00,8068,8068,0.00
17-04-2021,02:00:00,8668,8668,0.00
17-04-2021,01:00:00,9909,9909,0.00
16-04-2021,24:00:00,10854,10854,0.00
16-04-2021,23:00:00,11932,11932,0.00
16-04-2021,22:00:00,12712,12712,0.00
16-04-2021,21:00:00,12705,12705,0.00
04-04-2021,15:00:00,11756.2,11756,0.00
04-04-2021,14:00:00,11598,11598,0.00
04-04-2021,13:00:00,11429,11429,0.00
04-04-2021,12:00:00,11266,11266,0.00
04-04-2021,11:00:00,10887,10887,0.00
04-04-2021,10:00:00,10517,10517,0.00
04-04-2021,09:00:00,10007,10007,0.00
04-04-2021,08:00:00,9606,9606,0.00
04-04-2021,07:00:00,9661,9661,0.00
04-04-2021,06:00:00,9693,9693,0.00
04-04-2021,05:00:00,10076,10076,0.00
04-04-2021,04:00:00,10278,10278,0.00
04-04-2021,03:00:00,10601,10601,0.00
04-04-2021,02:00:00,10889,10889,0.00
04-04-2021,01:00:00,11442,11442,0.00
03-04-2021,24:00:00,12144,12144,0.00
03-04-2021,23:00:00,12123,12123,0.00
03-04-2021,22:00:00,12845,12845,0.00
03-04-2021,21:00:00,13018,13018,0.00
03-04-2021,20:00:00,12926,12926,0.00
03-04-2021,19:30:00,12929,12929,0.00
03-04-2021,19:00:00,12339,12339,0.00
03-04-2021,18:00:00,10654,10654,0.00
03-04-2021,17:00:00,10616,10616,0.00
03-04-2021,16:00:00,10953,10953,0.00
03-04-2021,15:00:00,10721,10721,0.00
03-04-2021,14:00:00,10542,10542,0.00
03-04-2021,13:00:00,10320,10320,0.00
03-04-2021,12:00:00,10126,10126,0.00
03-04-2021,11:00:00,9659,9659,0.00
03-04-2021,10:00:00,9358,9358,0.00
03-04-2021,09:00:00,9365,9365,0.00
03-04-2021,08:00:00,9463,9463,0.00
03-04-2021,07:00:00,9597,9597,0.00
03-04-2021,06:00:00,9580,9580,0.00
03-04-2021,05:00:00,9639,9639,0.00
03-04-2021,04:00:00,9882,9882,0.00
03-04-2021,03:00:00,10203,10203,0.00
03-04-2021,02:00:00,10533,10533,0.00
03-04-2021,01:00:00,10976,10976,0.00
02-04-2021,24:00:00,11511,11511,0.00
02-04-2021,23:00:00,11766,11766,0.00
02-04-2021,22:00:00,11986,11986,0.00
02-04-2021,21:00:00,11995,11995,0.00
02-04-2021,20:00:00,11932,11932,0.00
02-04-2021,19:30:00,11918,11918,0.00
02-04-2021,19:00:00,11349,11349,0.00
02-04-2021,18:00:00,9467,9467,0.00
02-04-2021,17:00:00,9611,9611,0.00
02-04-2021,16:00:00,9907,9907,0.00
02-04-2021,15:00:00,10011,10011,0.00
16-04-2021,20:00:00,12543,12543,0.00
16-04-2021,19:30:00,12538,12538,0.00
16-04-2021,19:00:00,12063,12063,0.00
16-04-2021,18:00:00,10381,10381,0.00
16-04-2021,17:00:00,10073,10073,0.00
16-04-2021,16:00:00,10242,10242,0.00
16-04-2021,15:00:00,10570,10570,0.00
16-04-2021,14:00:00,10264,10264,0.00
16-04-2021,13:00:00,10106,10106,0.00
16-04-2021,12:00:00,9873,9873,0.00
16-04-2021,11:00:00,9423,9423,0.00
16-04-2021,10:00:00,9290,9290,0.00
16-04-2021,09:00:00,9126,9126,0.00
16-04-2021,08:00:00,9140,9140,0.00
16-04-2021,07:00:00,9267,9267,0.00
16-04-2021,06:00:00,9426,9426,0.00
16-04-2021,05:00:00,10386,10386,0.00
16-04-2021,04:00:00,11213,11213,0.00
16-04-2021,03:00:00,11651,11651,0.00
16-04-2021,02:00:00,11736,11736,0.00
16-04-2021,01:00:00,12258,12258,0.00
15-04-2021,24:00:00,12743,12743,0.00
15-04-2021,23:00:00,13080,13080,0.00
15-04-2021,22:00:00,13287,13287,0.00
15-04-2021,21:00:00,13380,13380,0.00
15-04-2021,20:00:00,13183,13183,0.00
15-04-2021,19:30:00,13201,13201,0.00
15-04-2021,19:00:00,12828,12828,0.00
15-04-2021,18:00:00,11226,11226,0.00
15-04-2021,17:00:00,11355,11355,0.00
15-04-2021,16:00:00,11624,11624,0.00
15-04-2021,15:00:00,11789,11789,0.00
15-04-2021,14:00:00,11484,11484,0.00
15-04-2021,13:00:00,11132,11132,0.00
15-04-2021,12:00:00,10902,10902,0.00
15-04-2021,11:00:00,10530,10530,0.00
15-04-2021,10:00:00,10474,10474,0.00
15-04-2021,09:00:00,10031,10031,0.00
15-04-2021,08:00:00,9674,9674,0.00
15-04-2021,07:00:00,9520,9520,0.00
15-04-2021,06:00:00,9549,9549,0.00
15-04-2021,05:00:00,10319,10319,0.00
15-04-2021,04:00:00,11373,11373,0.00
15-04-2021,03:00:00,11790,11790,0.00
15-04-2021,02:00:00,11684,11684,0.00
15-04-2021,01:00:00,11920,11920,0.00
14-04-2021,24:00:00,12442,12442,0.00
14-04-2021,23:00:00,12768,12768,0.00
14-04-2021,22:00:00,13043,13043,0.00
14-04-2021,21:00:00,13058,13058,0.00
14-04-2021,20:00:00,12919,12919,0.00
31-03-2021,13:00:00,10341,10341,0.00
31-03-2021,12:00:00,9878,9878,0.00
31-03-2021,11:00:00,9575,9575,0.00
31-03-2021,10:00:00,9575,9575,0.00
31-03-2021,09:00:00,9365,9365,0.00
31-03-2021,08:00:00,9198,9198,0.00
31-03-2021,07:00:00,9065,9065,0.00
31-03-2021,06:00:00,9059,9059,0.00
31-03-2021,05:00:00,9299,9299,0.00
31-03-2021,04:00:00,9373,9373,0.00
31-03-2021,03:00:00,9708,9708,0.00
31-03-2021,02:00:00,9985,9985,0.00
31-03-2021,01:00:00,10303,10303,0.00
30-03-2021,24:00:00,10640,10640,0.00
30-03-2021,23:00:00,10675,10675,0.00
30-03-2021,22:00:00,10838,10838,0.00
30-03-2021,21:00:00,11122,11122,0.00
30-03-2021,20:00:00,11239,11239,0.00
30-03-2021,19:30:00,11407,11407,0.00
30-03-2021,19:00:00,10951,10951,0.00
30-03-2021,18:00:00,9325,9325,0.00
30-03-2021,17:00:00,9251,9251,0.00
30-03-2021,16:00:00,9500,9500,0.00
30-03-2021,15:00:00,9557,9557,0.00
30-03-2021,14:00:00,9277,9277,0.00
30-03-2021,13:00:00,8983,8983,0.00
30-03-2021,12:00:00,8688,8688,0.00
30-03-2021,11:00:00,8256,8256,0.00
30-03-2021,10:00:00,8185,8185,0.00
30-03-2021,09:00:00,8033,8033,0.00
30-03-2021,08:00:00,7935,7935,0.00
30-03-2021,07:00:00,7958,7958,0.00
30-03-2021,06:00:00,8071,8071,0.00
30-03-2021,05:00:00,8674,8674,0.00
30-03-2021,04:00:00,8831,8831,0.00
30-03-2021,03:00:00,9008,9008,0.00
30-03-2021,02:00:00,9388,9388,0.00
30-03-2021,01:00:00,10142,10142,0.00
29-03-2021,24:00:00,10631,10631,0.00
29-03-2021,23:00:00,11040,11040,0.00
29-03-2021,22:00:00,11546,11546,0.00
29-03-2021,21:00:00,11842,11842,0.00
29-03-2021,20:00:00,11857,11857,0.00
29-03-2021,19:30:00,12011,12011,0.00
29-03-2021,19:00:00,12050,12050,0.00
29-03-2021,18:00:00,10726,10726,0.00
29-03-2021,17:00:00,11001,11001,0.00
29-03-2021,16:00:00,11228,11228,0.00
29-03-2021,15:00:00,11379,11379,0.00
29-03-2021,14:00:00,11293,11293,0.00
29-03-2021,13:00:00,11265,11265,0.00
08-04-2021,17:00:00,10398,10398,0.00
08-04-2021,16:00:00,10714,10714,0.00
08-04-2021,15:00:00,10901,10901,0.00
